FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
7739,7850,120.154,TAHSİLAT MAGAZA,US,,960.0,,,,,,,,,,,,,,,,,,,,,,,,
7741,7852,120.112,Vanea Rubil kargodan alındı.,US,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,
7742,7853,120.088,Antik İness Kargodan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7743,7854,120.117,TAHSİLAT MAGAZA,US,,1540.0,,,,,,,,,,,,,,,,,,,,,,,,
7744,7855,120.118,TAHSİLAT MAGAZA,US,,2280.0,,,,,,,,,,,,,,,,,,,,,,,,
7744,7856,120.118,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7745,7857,120.117,TAHSİLAT MAGAZA,US,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
7745,7858,120.117,İNDİRİM ,US,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
7746,7859,120.118,TAHSİLAT MAGAZA,US,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
7747,7860,120.157,TAHSİLAT MAGAZA,US,,88.0,,,,,,,,,,,,,,,,,,,,,,,,
7748,7861,120.040,Alsu Trans Kargodan alındı.,US,,2236.0,,,,,,,,,,,,,,,,,,,,,,,,
7749,7862,120.111,Vizzi Tekstilden alındı.,US,,292.0,,,,,,,,,,,,,,,,,,,,,,,,
7750,7863,120.083,Ten Trans Kargodan alındı.,US,,928.0,,,,,,,,,,,,,,,,,,,,,,,,
7751,7864,120.148,Medved kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7752,7865,120.156,TASİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7753,7866,120.039,Grand Medya Otel Eliza alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7754,7867,120.154,,US,,568.0,,,,,,,,,,,,,,,,,,,,,,,,
7755,7868,120.134,TAHSİLAT MAGAZA,US,,1976.0,,,,,,,,,,,,,,,,,,,,,,,,
7755,7869,120.134,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7756,7870,120.096,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7757,7871,120.113,008 kargodan alındı.,US,,1520.0,,,,,,,,,,,,,,,,,,,,,,,,
7758,7872,120.137,Pegas kargodan alındı.,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7759,7873,120.152,TAHSİLAT MAGAZA,US,,1170.0,,,,,,,,,,,,,,,,,,,,,,,,
7759,7874,120.152,İNDİRİM,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
7760,7875,120.078,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7990,320.030,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7991,320.052,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7992,320.004,Mağaza Tahsilatı,US,,4316.0,,,,,,,,,,,,,,,,"4000€ karşılığı kur: 1,079",,,,,,,,
7763,7993,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7994,320.071,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7995,320.001,Mağaza Tahsilatı,US,,4316.0,,,,,,,,,,,,,,,,"4000€ karşılığı kur: 1,079",,,,,,,,
7763,7996,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7997,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7998,320.057,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,7999,320.039,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8000,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,Sentini Ayk. verildi.,,,,,,,,
7763,8001,320.003,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8002,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8003,320.041,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8004,320.023,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8005,320.047,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8006,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8007,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8008,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8009,320.076,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8010,320.026,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8011,320.081,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8012,320.061,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8013,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8014,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8015,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8016,320.092,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8017,320.085,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8018,320.013,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8019,320.012,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8020,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8021,320.121,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8022,320.080,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8023,320.104,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8024,320.068,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8025,320.098,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8026,320.084,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8027,320.089,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8028,320.045,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8029,320.096,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8030,320.024,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8031,320.130,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8032,320.122,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8033,320.102,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8034,320.091,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8035,320.103,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8036,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8037,320.033,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8038,320.101,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8039,320.064,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8040,320.079,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8041,320.042,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8042,320.006,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8043,320.054,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8044,320.027,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8045,320.086,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7763,8046,320.120,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7764,8047,120.121,TAHSİLAT FUAR ,US,,6218.0,,,,,,,,,,,,,,,,,,,,,,,,
7765,8048,120.165,TAHSİLAT FUAR,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7766,8049,120.166,TAHSİLAT 149.000,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7767,8050,120.079,İskonto,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7768,8051,120.164,TAHSİLAT FUAR 149.000 TNG,US,,302.0,,,,,,,,,,,,,,,,,,,,,,,,
7769,8052,120.013,Korona Pay ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7770,8053,120.002,TAHSİLAT FUAR ,US,,43915.0,,,,,,,,,,,,,,,,,,,,,,,,
7771,8054,120.021,Barlas Golddan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7772,8055,120.002,UKI Toka Masrafı,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
7773,8056,120.002,TAHSİLAT FUAR,US,,11350.0,,,,,,,,,,,,,,,,,,,,,,,,
7774,8057,120.047,İADE KARGO PARASI KREZİDEN DÜŞÜYORUZ ,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
7774,8058,120.047,TAHSİLAT FUARDA ,US,,2112.0,,,,,,,,,,,,,,,,,,,,,,,,
7774,8059,120.047,İADE 16 ÇİDR KREZİ BOZU MAL,US,,544.0,,,,,,,,,,,,,,,,,,,,,,,,
7775,8060,120.013,Korona Pay ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7776,8061,120.170,20.000 TL karşılığı ,US,,548.0,,,,,,,,,,,,,,,,Anya yenge hesabına ,,,,,,,,
7777,8062,120.170,40.000 TL karşılığı,US,,1095.0,,,,,,,,,,,,,,,,Emrah Gülmez hesabına gönderildi.,,,,,,,,
7778,8063,120.170,40.000 TL karşılığı ,US,,1095.0,,,,,,,,,,,,,,,,Sayara hesabına,,,,,,,,
7779,8064,120.010,TAHSİLAT FUAR,US,,3600.0,,,,,,,,,,,,,,,,,,,,,,,,
7780,8065,120.074,Kargo 34'ten alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7781,8066,120.077,Via Romettiden alındı.,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7782,8067,120.171,TAHSİLAT FUAR 246.000,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7783,8068,YS-001,Mağaza Tahsilatı ,US,,2000.0,,,,,,,,,,,,,,,,Motorcu eleman geldi,,,,,,,,
7784,8069,120.037,Lottini'den alındı.,US,,357.0,,,,,,,,,,,,,,,,,,,,,,,,
7785,8070,120.068,TAJ kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7786,8071,120.168,Korona Pay ile alındı.,US,,434.0,,,,,,,,,,,,,,,,,,,,,,,,
7787,8072,120.110,Mağaza Tahsilatı,US,,667.0,,,,,,,,,,,,,,,,,,,,,,,,
7788,8073,120.109,Mağaza Tahsilatı,US,,740.0,,,,,,,,,,,,,,,,,,,,,,,,
7789,8074,120.109,İNDİRİM ,US,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
7790,8075,120.089,Laleli Galeria'dan alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7791,8076,120.158,34 kargodan alındı.,US,,560.0,,,,,,,,,,,,,,,,,,,,,,,,
7792,8077,120.140,Öz Cenova tekstilden alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7793,8078,120.111,CENOVA Tekstilden alındı.,US,,742.0,,,,,,,,,,,,,,,,,,,,,,,,
7794,8079,120.033,Toni Kargodan alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7795,8080,120.143,Grand Medya Otelden alındı.,US,,732.0,,,,,,,,,,,,,,,,,,,,,,,,
7796,8081,120.078,Mağaza Tahsilatı,US,,8400.0,,,,,,,,,,,,,,,,,,,,,,,,
7797,8082,120.109,Mağaza Tahsilatı,US,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,
7798,8083,TKNK- 002,Yıllık Bakım ve Destek Paketi,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7799,8084,120.040,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7800,8085,120.048,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7801,8086,120.013,Korona Pay ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7802,8087,120.107,Medya Otelden alındı. ,US,,958.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8088,320.052,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8089,320.014,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8090,320.030,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8091,320.001,Mağaza Tahsilatı,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8092,320.020,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8093,320.026,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8094,320.057,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8095,320.071,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8096,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8097,320.063,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8098,320.039,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8099,320.036,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8100,320.088,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8101,320.005,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8102,320.041,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8103,320.003,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8104,320.023,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8105,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8106,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8107,320.061,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8108,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8109,320.103,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8110,320.047,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8111,320.043,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8112,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8113,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8114,320.059,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8115,320.121,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8116,320.081,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8117,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8118,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8119,320.044,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8120,320.092,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8121,320.065,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8122,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8123,320.066,Mağaza Tahsilatı,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8124,320.033,Mağaza Tahsilatı,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8125,320.080,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8126,320.013,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8127,320.093,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8128,320.104,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8129,320.084,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8130,320.049,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8131,320.078,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8132,320.106,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8133,320.138,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8134,320.102,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8135,320.027,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8136,320.098,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8137,320.042,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8138,320.124,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8139,320.040,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8140,320.064,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8141,320.073,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8142,320.086,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8143,320.083,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8144,320.126,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8145,320.068,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8146,320.069,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8147,320.101,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8148,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7803,8149,YS-001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7804,8150,120.001,Fuar Tahsilatı,US,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
7805,8151,120.019,Fuarda Tahsilat,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
7807,8153,120.014,İADE- 1314 056 Renk 8 Çift ,US,,248.0,,,,,,,,,,,,,,,,,,,,,,,,
7808,8154,120.014,4.KAT Kalan Kira Borcu,US,,16000.0,,,,,,,,,,,,,,,,,,,,,,,,
7809,8155,120.087,Korona Pay ile ödeme alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7810,8156,120.084,Korona Pay ile ödeme alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7811,8157,120.108,647$ Barbeta Shoes'a verildi.,US,,647.0,,,,,,,,,,,,,,,,,,,,,,,,
7812,8158,120.075,Grand Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7813,8159,120.076,Grand Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7814,8160,120.039,Grand Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7815,8161,120.078,Mağaza Tahsilatı,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
7816,8162,120.038,TAHSİLAT MAGAZA,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
7817,8163,120.176,TAHSİLAT MAGAZA,US,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,
7817,8164,120.176,İNDİRİM,US,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
7818,8165,120.013,Korona Pay ile alındı.,US,,792.0,,,,,,,,,,,,,,,,,,,,,,,,
7819,8166,120.174,Korona Pay ile alındı. Sisteme işlendi.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7820,8167,120.013,İADE 005 6234 8 çift kargo masrafı,US,,64.0,,,,,,,,,,,,,,,,,,,,,,,,
7821,8168,320.005,013 Belge - 6234 Klte - Kargo parası,US,,64.0,,,,,,,,,,,,,,,,,,,,,,,,
7823,8170,120.122,İRA Aldı.,US,,216.0,,,,,,,,,,,,,,,,,,,,,,,,
7824,8171,120.063,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7825,8172,120.115,Korona Pay ile alındı.,US,,2150.0,,,,,,,,,,,,,,,,,,,,,,,,
7826,8173,120.088,Antik İness Kargodan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7827,8174,120.053,Alsu Trans Kargodan alındı. ,US,,567.0,,,,,,,,,,,,,,,,,,,,,,,,
7828,8175,120.112,Alsu kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7829,8176,120.085,Samara Kargodan alındı.,US,,304.0,,,,,,,,,,,,,,,,,,,,,,,,
7830,8177,120.176,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7831,8178,120.007,Medya otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7832,8179,120.030,UPT ile alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7833,8180,120.051,"1960€ karşılığı kur:1,0935",US,,2143.0,,,,,,,,,,,,,,,,,,,,,,,,
7834,8181,120.127,TAHSİLAT MAGAZA SAYARA ,US,,708.0,,,,,,,,,,,,,,,,,,,,,,,,
7835,8182,120.159,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
7836,8183,120.129,Nod Trendden alındı.,US,,1288.0,,,,,,,,,,,,,,,,,,,,,,,,
7837,8184,120.159,Mağaza Tahsilatı,US,,770.0,,,,,,,,,,,,,,,,,,,,,,,,
7838,8185,120.146,5 KOLİ KARGO MASRAFI,US,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
7839,8186,120.115,1 ÇUVAL KARGO MASRAFI,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
7840,8187,320.067,İADE- Kargo masrafı,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
7841,8188,120.135,Antik İness kargodan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7842,8189,120.179,TAHSİLAT MAGAZA,US,,10300.0,,,,,,,,,,,,,,,,,,,,,,,,
7842,8190,120.179,İNDİRİM ,US,,14.0,,,,,,,,,,,,,,,,,,,,,,,,
7843,8191,120.180,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7844,8192,120.133,Korona Pay ile alındı.,US,,516.0,,,,,,,,,,,,,,,,,,,,,,,,
7845,8193,120.037,Dadaş Parktan alındı.,US,,5360.0,,,,,,,,,,,,,,,,,,,,,,,,
7846,8194,120.097,Polanin Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7847,8195,120.156,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7848,8196,120.067,63 kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7849,8197,120.054,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7850,8198,120.059,Grand Medya Otelden alındı.,US,,990.0,,,,,,,,,,,,,,,,,,,,,,,,
7851,8199,120.126,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7852,8200,120.043,Cem Shoestan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7853,8201,120.074,34 Kargodan alındı.,US,,590.0,,,,,,,,,,,,,,,,,,,,,,,,
7854,8202,120.112,Alsu Trans Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7855,8203,120.170,Nemca dan alındı.,US,,418.0,,,,,,,,,,,,,,,,,,,,,,,,
7856,8204,120.129,Ak Otelden alındı.,US,,2484.0,,,,,,,,,,,,,,,,,,,,,,,,
7857,8205,120.049,Sky Tour kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8206,320.052,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8207,320.030,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8208,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8209,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8210,320.001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8211,320.057,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8212,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8213,320.026,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7858,8214,320.059,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
